filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,0,"{""name"":""rect"",""x"":474,""y"":1910,""width"":687,""height"":574}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,1,"{""name"":""rect"",""x"":543,""y"":407,""width"":839,""height"":538}","{""name"":""sugarcane"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,2,"{""name"":""rect"",""x"":1333,""y"":1280,""width"":441,""height"":335}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,3,"{""name"":""rect"",""x"":1167,""y"":2691,""width"":737,""height"":581}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true,""blur"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,4,"{""name"":""rect"",""x"":468,""y"":2728,""width"":637,""height"":531}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,5,"{""name"":""rect"",""x"":31,""y"":2366,""width"":512,""height"":218}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,6,"{""name"":""rect"",""x"":1642,""y"":1910,""width"":449,""height"":412}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,7,"{""name"":""rect"",""x"":431,""y"":1161,""width"":144,""height"":175}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,8,"{""name"":""rect"",""x"":481,""y"":1386,""width"":225,""height"":337}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,9,"{""name"":""rect"",""x"":69,""y"":2597,""width"":337,""height"":125}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_05.png,19096572,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",11,10,"{""name"":""rect"",""x"":12,""y"":2641,""width"":250,""height"":418}","{""name"":""corn"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,0,"{""name"":""rect"",""x"":756,""y"":242,""width"":1396,""height"":2017}","{""name"":""sugarcane"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,1,"{""name"":""rect"",""x"":174,""y"":2641,""width"":188,""height"":472}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,2,"{""name"":""rect"",""x"":445,""y"":2444,""width"":248,""height"":404}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true,""blur"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,3,"{""name"":""rect"",""x"":692,""y"":3054,""width"":193,""height"":229}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,4,"{""name"":""rect"",""x"":417,""y"":1958,""width"":101,""height"":170}","{""name"":""cassava"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,5,"{""name"":""rect"",""x"":547,""y"":3198,""width"":135,""height"":160}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,6,"{""name"":""rect"",""x"":336,""y"":3254,""width"":51,""height"":308}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,7,"{""name"":""rect"",""x"":1486,""y"":2992,""width"":247,""height"":249}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,8,"{""name"":""rect"",""x"":1239,""y"":2827,""width"":224,""height"":318}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,9,"{""name"":""rect"",""x"":1977,""y"":3132,""width"":158,""height"":262}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,10,"{""name"":""rect"",""x"":1465,""y"":2559,""width"":140,""height"":300}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,11,"{""name"":""rect"",""x"":1463,""y"":1366,""width"":76,""height"":822}","{""name"":""sugarcane"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,12,"{""name"":""rect"",""x"":1656,""y"":1433,""width"":122,""height"":715}","{""name"":""sugarcane"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,13,"{""name"":""rect"",""x"":1053,""y"":303,""width"":840,""height"":1018}","{""name"":""sugarcane"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,14,"{""name"":""rect"",""x"":544,""y"":1160,""width"":196,""height"":476}","{""name"":""Plant"",""type"":""unknown"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,15,"{""name"":""rect"",""x"":1417,""y"":3394,""width"":295,""height"":224}","{""name"":""corn"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,16,"{""name"":""rect"",""x"":977,""y"":2923,""width"":196,""height"":109}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,17,"{""name"":""rect"",""x"":1804,""y"":3552,""width"":303,""height"":244}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,18,"{""name"":""rect"",""x"":43,""y"":3190,""width"":97,""height"":226}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,19,"{""name"":""rect"",""x"":817,""y"":2440,""width"":64,""height"":46}","{""name"":""cassava"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,20,"{""name"":""rect"",""x"":143,""y"":2072,""width"":145,""height"":105}","{""name"":""cassava"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_10.png,13807091,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",22,21,"{""name"":""rect"",""x"":198,""y"":1021,""width"":114,""height"":681}","{""name"":""sugarcane"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_11.png,11689620,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",7,0,"{""name"":""rect"",""x"":19,""y"":393,""width"":1658,""height"":1857}","{""name"":""sugarcane"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
garden_image_11.png,11689620,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",7,1,"{""name"":""rect"",""x"":1416,""y"":3175,""width"":216,""height"":200}","{""name"":""grass"",""type"":""plant"",""image_quality"":{""good"":true,""frontal"":true,""good_illumination"":true}}"
